Слово,Транскрипция
ажитато,ɐʐɨtatə
ажитация,ɐʐɨtat͡sɨɪ̯ə
ажно,aʐnə
ажур,ɐʐur
ажурно,ɐʐurnə
ажурность,ɐʐurnəsʲtʲ
ажурный,ɐʐurnɨɪ̯
ажюстировать,ɐʐʊsʲtʲirəvətʲ
азалия,ɐzalʲɪɪ̯ə
азан,ɐzan
азарин,ɐzɐrʲin
азарт,ɐzart
азартная,ɐzartnɨɪ̯
азартничать,ɐzart⁽ʲ⁾nʲɪt͡ɕɪtʲ
азартно,ɐzartnə
азартность,ɐzartnəsʲtʲ
азартный,ɐzartnɨɪ̯
азат,ɐzat
азбест,ɐzbʲest
азбука,azbʊkə
азбуковник,ɐzbʊkovnʲɪk
азбучка,azbʊt͡ɕkə
азбучная,azbʊt͡ɕnɨɪ̯
азбучно,azbʊt͡ɕnə
азбучность,azbʊt͡ɕnəsʲtʲ
азбучный,azbʊt͡ɕnɨɪ̯
азеотропный,ɐzʲɪɐtropnɨɪ̯
азербайджанец,ɐzʲɪrbɐɪ̯d͡ʐʐanʲɪt͡s
азербайджанка,ɐzʲɪrbɐɪ̯d͡ʐʐankə
азербайджанский,ɐzʲɪrbɐɪ̯d͡ʐʐanskʲɪɪ̯
азербайджанско-российский,ɐzʲɪrbɐɪ̯d͡ʐˌʐanskə rɐsʲiɪ̯skʲɪɪ̯
азербайджанцы,ɐzʲɪrbɐɪ̯d͡ʐʐanʲɪt͡s
азефовский,ɐzʲefəfskʲɪɪ̯
азефовщина,ɐzʲefəfɕːɪnə
азианизм,ɐzʲɪɐnʲizm
азианический,ɐzʲɪɐnʲit͡ɕɪskʲɪɪ̯
азиат,ɐzʲɪat
азиатка,ɐzʲɪatkə
азиатский,ɐzʲɪat͡skʲɪɪ̯
азиатско-тихоокеанский,ɐzʲɪˌat͡skə tʲɪxɐɐkʲɪanskʲɪɪ̯
азиатчина,ɐzʲɪat͡ɕːɪnə
азиаты,ɐzʲɪat
азид,ɐzʲit
азиды,ɐzʲit
азизбековец,ɐzʲɪzbʲekəvʲɪt͡s
азимут,azʲɪmʊt
азимутальный,ɐzʲɪmʊtalʲnɨɪ̯
азимутный,azʲɪmʊtnɨɪ̯
азины,ɐzʲin
азнакаевец,ɐznɐkaɪ̯ɪvʲɪt͡s
азобензол,ɐzəbʲɪnzoɫ
азобилирубин,ɐzəbʲɪlʲɪrʊbʲin
азовец,ɐzovʲɪt͡s
азово-черноморский,ɐˌzovə t͡ɕɪrnɐmorskʲɪɪ̯
азовский,ɐzofskʲɪɪ̯
азовчанин,ɐzɐft͡ɕænʲɪn
азогруппа,ɐzɐɡrupːə
азойский,ɐzoɪ̯skʲɪɪ̯
азокраситель,ɐzəkrɐsʲitʲɪlʲ
азоксисоединения,ɐˌzoksʲɪsəɪ̯ɪdʲɪnʲenʲɪɪ̯ə
азометан,ɐzəmʲɪtan
азональность,ɐzɐnalʲnəsʲtʲ
азональный,ɐzɐnalʲnɨɪ̯
азооспермия,ɐˌzoəspʲɪrmʲiɪ̯ə
азопигмент,ˌazəpʲɪɡmʲent
азосоединения,ˌazəsəɪ̯ɪdʲɪnʲenʲɪɪ̯ə
азосоставляющая,ɐzəsəstɐvlʲæɪ̯ʊɕːɪɪ̯ə
азосочетание,ɐzəsət͡ɕɪtanʲɪɪ̯ə
азот,ɐzot
азотемия,ɐzətɛmʲiɪ̯ə
азотизация,ɐzətʲɪzat͡sɨɪ̯ə
азотирование,ɐzɐtʲirəvənʲɪɪ̯ə
азотировать,ɐzɐtʲirəvətʲ
азотироваться,ɐzɐtʲirəvət͡sə
азотисто-водородный,ɐˌzotʲɪstə vədɐrodnɨɪ̯
азотистокислый,ɐˌzotʲɪstɐkʲisɫɨɪ̯
азотистый,ɐzotʲɪstɨɪ̯
азотно-калийно-фосфорный,ɐˌzotnə kɐˌlʲiɪ̯nə fosfərnɨɪ̯
азотно-калийный,ɐˌzotnə kɐlʲiɪ̯nɨɪ̯
азотно-туковый,ɐˌzotnə tukəvɨɪ̯
азотно-фосфорный,ɐˌzotnə fosfərnɨɪ̯
азотноватистый,ɐzətnɐvatʲɪstɨɪ̯
азотноватый,ɐzətnɐvatɨɪ̯
азотнокислый,ɐˌzotnɐkʲisɫɨɪ̯
азотный,ɐzotnɨɪ̯
азотобактер,ɐˌzotɐbaktʲɪr
азотобактерии,ɐˌzotəbɐktʲerʲɪɪ̯ə
азотобактерин,ɐˌzotəbəktɛrʲin
азотоген,ɐzətɐɡʲen
азотометр,ɐzətɐmʲetr
азотоотдающий,ɐˌzotɐɐdːɐjʉɕːɪɪ̯
азотосодержащий,ɐˌzotəsədʲɪrʐaɕːɪɪ̯
азототдающий,ɐˌzotədɐjʉɕːɪɪ̯
азотоусваивающий,ɐˌzotəʊsvaɪvəjʉɕːɪɪ̯
азотофиксирующий,ɐˌzotəfʲɪksʲirʊjʉɕːɪɪ̯
азотсодержащий,ɐˌzot͡ssədʲɪrʐaɕːɪɪ̯
азотурия,ɐzətʊrʲiɪ̯ə
азотусваивающий,ɐˌzotʊsvaɪvəjʉɕːɪɪ̯
азотфиксаторы,ɐˌzotfʲɪksatər
азотфиксация,ɐˌzotfʲɪksat͡sɨɪ̯ə
азотфиксирующий,ɐˌzotfʲɪksʲirʊjʉɕːɪɪ̯
азофоска,ɐzɐfoskə
азу,ɐzu
азур,ɐzur
азурит,ɐzʊrʲit
азы,ɐzɨ
азюлянт,ɐzʲʉlʲant
азям,ɐzʲam
азямчик,ɐzʲamt͡ɕɪk
аид,ɐit
аил,ɐiɫ
аильный,ɐilʲnɨɪ̯
аир,ɐir
аирный,ɐirnɨɪ̯
аист,aɪst
аист-разиня,aɪst rɐzʲinʲə
аистиный,ɐɪsʲtʲinɨɪ̯
аистиха,ɐɪsʲtʲixə
аистник,aɪsʲnʲɪk
аистовый,aɪstəvɨɪ̯
аистообразные,ˌaɪstɐɐbraznɨɪ
аистёнок,ɐɪsʲtʲɵnək
аифовец,ɐifəvʲɪt͡s
аифовский,ɐifəfskʲɪɪ̯
айва,ɐɪ̯va
айван,ɐɪ̯van
айвовый,ɐɪ̯vovɨɪ̯
айда,ɐɪ̯da
айдойомания,ɐɪ̯dəɪ̯ɪmanʲɪɪ̯ə
айе-айе,aɪ̯ːe aɪ̯ːe
айкание,aɪ̯kənʲɪɪ̯ə
айканье,aɪ̯kənʲɪ̯ə
айкать,aɪ̯kətʲ
айкающий,aɪ̯kəjʉɕːɪɪ̯
айкидо,ɐɪ̯kʲɪdo
айкидоист,ɐɪ̯kʲɪdɐist
айкинец,aɪ̯kʲɪnʲɪt͡s
айкнуть,aɪ̯knʊtʲ
айлант,ɐɪ̯ɫant
айлантовый,ɐɪ̯ɫantəvɨɪ̯
аймак,ɐɪ̯mak
аймаковый,ɐɪ̯mɐkovɨɪ̯
аймарский,ɐɪ̯marskʲɪɪ̯
аймачный,ɐɪ̯mat͡ɕnɨɪ̯
айнинец,ɐɪ̯nʲinʲɪt͡s
айнский,aɪ̯nskʲɪɪ̯
айован,ɐjɵvan
айованец,ɐɪ̯ɪvanʲɪt͡s
айованка,ɐɪ̯ɪvankə
айованский,ɐɪ̯ɪvanskʲɪɪ̯
айованцы,ɐɪ̯ɪvanʲɪt͡s
айовец,ɐjɵvʲɪt͡s
айовский,ajɵfskʲɪɪ̯
айовцы,ɐjɵvʲɪt͡s
айрак,ɐɪ̯rak
айран,ɐɪ̯ran
айрол,ɐɪ̯roɫ
айрширы,ɐɪ̯rʂɨr
айс-ревю,ˌaɪ̯s rʲɪvʲu
айс-фифи,ˌaɪ̯s fʲɪfʲi
айсбайль,ɐɪ̯zbaɪ̯lʲ
айсберг,aɪ̯zbʲɪrk
айсинг,aɪ̯sʲɪnk
айсор,ɐɪ̯sor
айсорка,ɐɪ̯sorkə
айсорский,ɐɪ̯sorskʲɪɪ̯
айсоры,ɐɪ̯sor
айтматовский,ɐɪ̯tmatəfskʲɪɪ̯
айяуаска,ɐjaʊaskə
аонид,ɐɐnʲidə
аониды,ɐɐnʲidə
аорист,ɐorʲɪst
аорта,ɐortə
аортальный,ɐɐrtalʲnɨɪ̯
аортит,ɐɐrtʲit
аортный,ɐortnɨɪ̯
аортовый,ɐortəvɨɪ̯
аортокоронарный,ɐˌortəkərɐnarnɨɪ̯
аугментатив,ɐʊɡmʲɪntɐtʲif
аугментативный,ɐʊɡmʲɪntɐtʲivnɨɪ̯
аугментация,ɐʊɡmʲɪntat͡sɨɪ̯ə
аугсбургец,aʊɡzbʊrɡʲɪt͡s
аугсбургский,ɐʊɡzburkskʲɪɪ̯
ауди,aʊdʲɪ
аудиенц-зал,ɐʊdʲɪˌɛnd͡z zaɫ
аудиенция,ɐʊdʲɪɛnt͡sɨɪ̯ə
аудио,aʊdʲɪo
аудио-видеоусилитель,ˌaʊdʲɪɐˌvʲidʲɪəʊsʲɪlʲitʲɪlʲ
аудиоаппаратура,ˌaʊdʲɪɐɐpərɐturə
аудиобизнес,ˌaʊdʲɪɐbʲiznɛs
аудиобуфер,ˌaʊdʲɪɐbufʲɪr
аудиовидеоаппаратура,ˌaʊdʲɪɐˌvʲidʲɪɐɐpərɐturə
аудиовидеорынок,ˌaʊdʲɪɐˌvʲidʲɪɐrɨnək
аудиовидеоспонсор,ˌaʊdʲɪɐˌvʲidʲɪɐsponsər
аудиовидеостудия,ˌaʊdʲɪɐˌvʲidʲɪɐstudʲɪɪ̯ə
аудиовизуальный,ˌaʊdʲɪəvʲɪzʊalʲnɨɪ̯
аудиовыход,ˌaʊdʲɪɐvɨxət
аудиогенный,ɐʊdʲɪɐɡʲenːɨɪ̯
аудиограмма,ɐʊdʲɪɐɡramːə
аудиодомофон,ˌaʊdʲɪədəmɐfon
аудиозапись,ˌaʊdʲɪɐzapʲɪsʲ
аудиокассета,ˌaʊdʲɪəkɐsʲːetə
аудиоклип,ˌaʊdʲɪɐklʲip
аудиокомпакт-диск,ˌaʊdʲɪəkɐmˌpaɡd dʲisk
аудиокомплекс,ˌaʊdʲɪɐkomplʲɪks
аудиокурс,ˌaʊdʲɪɐkurs
аудиолента,ˌaʊdʲɪɐlʲentə
аудиологический,ɐʊdʲɪəɫɐɡʲit͡ɕɪskʲɪɪ̯
аудиология,ɐʊdʲɪɐɫoɡʲɪɪ̯ə
аудиометр,ɐʊdʲɪomʲɪtr
аудиометрия,ɐʊdʲɪɐmʲetrʲɪɪ̯ə
аудиоплата,ˌaʊdʲɪɐpɫatə
аудиоплеер,ˌaʊdʲɪɐplʲeɪ̯ɪr
аудиоплейер,ˌaʊdʲɪɐpɫɛɪ̯ɪr
аудиоплэйер,ˌaʊdʲɪɐpɫɛɪ̯ɪr
аудиоподсистема,ˌaʊdʲɪəpətʲ͡sʲsʲɪsʲtʲemə
аудиопоток,ˌaʊdʲɪəpɐtok
аудиопроигрыватель,ˌaʊdʲɪəprɐiɡrɨvətʲɪlʲ
аудиосалон,ɐʊdʲɪəsɐɫon
аудиосенсор,ˌaʊdʲɪɐsʲensər
аудиосервис,ɐʊdʲɪɐsʲervʲɪs
аудиосистема,ˌaʊdʲɪəsʲɪsʲtʲemə
аудиоспектрометр,ˌaʊdʲɪəspʲɪktromʲɪtr
аудиосреда,ˌaʊdʲɪəsrʲɪda
аудиостенограмма,ˌaʊdʲɪəsʲtʲɪnɐɡramːə
аудиостенография,ˌaʊdʲɪəsʲtʲɪnɐɡrafʲɪɪ̯ə
аудиостимулятор,ˌaʊdʲɪəsʲtʲɪmʊlʲatər
аудиостимуляция,ˌaʊdʲɪəsʲtʲɪmʊlʲat͡sɨɪ̯ə
аудиотекст,ˌaʊdʲɪɐtʲekst
аудиотекстовый,ˌaʊdʲɪɐtʲekstəvɨɪ̯
аудиотехника,ˌaʊdʲɪɐtʲexnʲɪkə
аудиотрансляция,ˌaʊdʲɪətrɐnslʲat͡sɨɪ̯ə
аудиофайл,ˌaʊdʲɪɐfaɪ̯ɫ
аудиоцентр,ˌaʊdʲɪɐt͡sɛntr
аудиочастотомер,ˌaʊdʲɪət͡ɕɪˌstotɐmʲer
аудирование,ɐʊdʲirəvənʲɪɪ̯ə
аудировать,ɐʊdʲirəvətʲ
аудит,ɐʊdʲit
аудитор,ɐʊdʲitər
аудиториат,ɐʊdʲɪtərʲɪat
аудитория,ɐʊdʲɪtorʲɪɪ̯ə
аудиторный,ɐʊdʲɪtornɨɪ̯
аудиторский,ɐʊdʲitərskʲɪɪ̯
аудиторство,ɐʊdʲitərstvə
аудринец,aʊdrʲɪnʲɪt͡s
аукание,ɐukənʲɪɪ̯ə
ауканье,ɐukənʲɪ̯ə
аукать,ɐukətʲ
аукаться,ɐukət͡sə
аукнуть,ɐuknʊtʲ
аукнуться,ɐuknʊt͡sə
ауксанограф,ɐʊksɐnoɡrəf
ауксанометр,ɐʊksɐnomʲɪtr
ауксоспора,ɐʊksɐsporə
ауксотрофный,ɐʊksɐtrofnɨɪ̯
аукуба,ɐʊkubə
аукцион,ɐʊkt͡sɨon
аукционатор,ɐʊkt͡sɨɐnatər
аукционаторский,ɐʊkt͡sɨɐnatərskʲɪɪ̯
аукционаторство,ɐʊkt͡sɨɐnatərstvə
аукционер,ɐʊkt͡sɨɐnʲer
аукционист,ɐʊkt͡sɨɐnʲist
аукционный,ɐʊkt͡sɨonːɨɪ̯
аул,ɐuɫ
аульный,ɐulʲnɨɪ̯
аульский,ɐulʲskʲɪɪ̯
аура,aʊrə
аургазинец,ɐʊrɡɐzʲinʲɪt͡s
аурелия,ɐʊrɛlʲɪɪ̯ə
ауреомицин,ɐʊrʲɪəmʲɪt͡sɨn
аурипигмент,ɐʊrʲɪpʲɪɡmʲent
аусвайс,ɐʊsvaɪ̯s
аускультативный,ɐʊskʊlʲtɐtʲivnɨɪ̯
аускультация,ɐʊskʊlʲtat͡sɨɪ̯ə
ауспиции,ɐʊspʲit͡sɨɪ̯ə
ауспиция,ɐʊspʲit͡sɨɪ̯ə
аустенит,ɐʊstɛnʲit
аустенитный,ɐʊstɛnʲitnɨɪ̯
аустерия,ɐʊstɛrʲɪɪ̯ə
аустерлицкий,ɐʊstɛrlʲit͡skʲɪɪ̯
аустраль,ɐʊstralʲ
аустрический,ɐʊstrʲit͡ɕɪskʲɪɪ̯
аустроазиатский,ɐʊstrɐɐzʲɪat͡skʲɪɪ̯
аут,aʊt
аутбридинг,ɐʊdbrʲidʲɪnk
аутентификация,ɐʊtɛnʲtʲɪfʲɪkat͡sɨɪ̯ə
аутентический,ɐʊtɛnʲtʲit͡ɕɪskʲɪɪ̯
аутентично,ɐʊtɛnʲtʲit͡ɕnə
аутентичность,ɐʊtɛnʲtʲit͡ɕnəsʲtʲ
аутентичный,ɐʊtɛnʲtʲit͡ɕnɨɪ̯
аутизм,ɐʊtʲizm
аутичность,ɐʊtʲit͡ɕnəsʲtʲ
ауто,aʊtə
аутоагглютинация,ˌaʊtɐɐɡlʲʉtʲɪnat͡sɨɪ̯ə
аутоагглютинин,ˌaʊtɐɐɡlʲʉtʲɪnʲin
аутоагрегация,ˌaʊtɐɐɡrʲɪɡat͡sɨɪ̯ə
аутоагрессивность,ˌaʊtɐɐɡrʲɪsʲivnəsʲtʲ
аутоагрессия,ˌaʊtɐɐɡrʲesʲːɪɪ̯ə
аутоаллерген,ˌaʊtɐɐlʲɪrɡʲen
аутоаллергенный,ˌaʊtɐɐlʲɪrɡʲenːɨɪ̯
аутоаллергический,ˌaʊtɐɐlʲɪrɡʲit͡ɕɪskʲɪɪ̯
аутоаллергия,ˌaʊtɐɐlʲɪrɡʲiɪ̯ə
аутоампутация,ˌaʊtɐɐmpʊtat͡sɨɪ̯ə
аутоанализатор,ˌaʊtɐɐnəlʲɪzatər
аутоанамнез,ˌaʊtɐɐnamnɛs
аутоанафилаксия,ˌaʊtɐɐnəfʲɪɫɐksʲiɪ̯ə
аутоантагонизм,ˌaʊtɐɐntəɡɐnʲizm
аутоантиген,ˌaʊtɐɐnʲtʲɪɡʲen
аутоантигенный,ˌaʊtɐɐnʲtʲɪɡʲenːɨɪ̯
аутоантитело,ˌaʊtɐɐnʲtʲɪtʲeɫə
аутобактериофаг,ˌaʊtəbɐˌktʲerʲɪɐfak
аутобивалент,ˌaʊtəbʲɪvɐlʲent
аутовакцина,ˌaʊtəvɐkt͡sɨnə
аутовакцинация,ˌaʊtəvəkt͡sɨnat͡sɨɪ̯ə
аутовакцинотерапия,ˌaʊtəvɐkˌt͡sɨnətʲɪrɐpʲiɪ̯ə
аутогамия,ɐʊtɐɡamʲɪɪ̯ə
аутогамный,ɐʊtɐɡamnɨɪ̯
аутогемолизин,ˌaʊtəɡʲɪməlʲɪzʲin
аутогемотерапия,ˌaʊtɐˌɡʲemətʲɪrɐpʲiɪ̯ə
аутогемотрансфузия,ˌaʊtɐˌɡʲemətrɐnsfuzʲɪɪ̯ə
аутогенез,ˌaʊtəɡʲɪnɛs
аутогенетический,ˌaʊtəɡʲɪnɛtʲit͡ɕɪskʲɪɪ̯
аутогенный,ɐʊtɐɡʲenːɨɪ̯
аутогеномный,ˌaʊtəɡʲɪnomnɨɪ̯
аутография,ˌaʊtɐɡrafʲɪɪ̯ə
аутодафе,ɐʊtədɐfɛ
аутодермопластика,ˌaʊtədɛrmɐpɫasʲtʲɪkə
аутодифференциация,ˌaʊtədʲɪfʲɪrʲɪnt͡sɨat͡sɨɪ̯ə
аутодонорство,ˌaʊtɐdonərstvə
аутоидентификация,ˌaʊtəɪdɛnʲtʲɪfʲɪkat͡sɨɪ̯ə
аутоиммунизация,ˌaʊtəɪmːʊnʲɪzat͡sɨɪ̯ə
аутоиммунитет,ˌaʊtəɪmːʊnʲɪtʲet
аутоиммунность,ˌaʊtəɪmːunːəsʲtʲ
аутоиммунный,ˌaʊtəɪmːunːɨɪ̯
аутоинвазия,ˌaʊtəɪnvazʲɪɪ̯ə
аутоинокуляция,ˌaʊtəɪnəkʊlʲat͡sɨɪ̯ə
аутоинтоксикация,ˌaʊtəɪntəksʲɪkat͡sɨɪ̯ə
аутоинфекция,ˌaʊtəɪnfʲekt͡sɨɪ̯ə
аутокатализ,ˌaʊtəkɐtalʲɪs
аутокаталитический,ˌaʊtəkətəlʲɪtʲit͡ɕɪskʲɪɪ̯
аутокатетеризация,ˌaʊtəkətɛtɛrʲɪzat͡sɨɪ̯ə
аутокровь,ˌaʊtɐkrofʲ
аутолиз,ɐʊtolʲɪs
аутолизин,ɐʊtəlʲɪzʲin
аутологический,ɐʊtəɫɐɡʲit͡ɕɪskʲɪɪ̯
аутомиксис,ɐʊtɐmʲiksʲɪs
аутомобилизация,ˌaʊtəməbʲɪlʲɪzat͡sɨɪ̯ə
аутомутаген,ˌaʊtəmʊtɐɡʲen
аутомутация,ˌaʊtəmʊtat͡sɨɪ̯ə
аутооксидация,ˌaʊtɐɐksʲɪdat͡sɨɪ̯ə
аутоориентация,ˌaʊtɐɐrʲɪɪ̯ɪntat͡sɨɪ̯ə
аутоофтальмоскоп,ˌaʊtɐɐftəlʲmɐskop
аутоофтальмоскопия,ˌaʊtɐɐftəlʲməskɐpʲiɪ̯ə
аутопептид,ˌaʊtəpʲɪptʲit
аутоперфузия,ˌaʊtəpʲɪrfuzʲɪɪ̯ə
аутопластика,ˌaʊtɐpɫasʲtʲɪkə
аутополиплоид,ˌaʊtəpəlʲɪpɫoɪt
аутополиплоидия,ˌaʊtəpəlʲɪpɫəɪdʲiɪ̯ə
аутопротромбин,ˌaʊtəprətrɐm⁽ʲ⁾bʲin
аутопсихоз,ˌaʊtəpsʲɪxos
аутопсихотерапия,ˌaʊtəpsʲɪxətʲɪrɐpʲiɪ̯ə
аутопсия,ɐʊtɐpsʲiɪ̯ə
ауторадиограмма,ˌaʊtərədʲɪɐɡramːə
ауторадиограф,ˌaʊtərədʲɪoɡrəf
ауторадиография,ˌaʊtərədʲɪɐɡrafʲɪɪ̯ə
аутореактивность,ˌaʊtərʲɪɐktʲivnəsʲtʲ
ауторегуляция,ˌaʊtərʲɪɡʊlʲat͡sɨɪ̯ə
ауторелаксация,ˌaʊtərʲɪɫɐksat͡sɨɪ̯ə
ауторепарация,ˌaʊtərʲɪpɐrat͡sɨɪ̯ə
ауторепликация,ˌaʊtərʲɪplʲɪkat͡sɨɪ̯ə
ауторепродуктивный,ˌaʊtərʲɪprədʊktʲivnɨɪ̯
ауторепродукция,ˌaʊtərʲɪprɐdukt͡sɨɪ̯ə
ауторецептор,ˌaʊtərʲɪt͡sɛptər
аутосенсибилизация,ˌaʊtəsʲɪn⁽ʲ⁾sʲɪbʲɪlʲɪzat͡sɨɪ̯ə
аутосеротерапия,ˌaʊtɐˌsʲerətʲɪrɐpʲiɪ̯ə
аутосинапс,ˌaʊtɐsʲinəps
аутоскоп,ɐʊtɐskop
аутоскопия,ˌaʊtəskɐpʲiɪ̯ə
аутосома,ɐʊtɐsomə
аутостимуляция,ˌaʊtəsʲtʲɪmʊlʲat͡sɨɪ̯ə
аутосуггестия,ˌaʊtəsʊɡʲesʲtʲɪɪ̯ə
аутотерапия,ˌaʊtətʲɪrɐpʲiɪ̯ə
аутотолерантность,ˌaʊtətəlʲɪrantnəsʲtʲ
аутотомия,ɐʊtɐtomʲɪɪ̯ə
аутотрансплантат,ˌaʊtətrənspɫɐntat
аутотрансплантация,ˌaʊtətrənspɫɐntat͡sɨɪ̯ə
аутотрансфузия,ˌaʊtətrɐnsfuzʲɪɪ̯ə
аутотренинг,ˌaʊtɐtrʲenʲɪnk
аутотроф,ɐʊtɐtrof
аутотрофный,ɐʊtɐtrofnɨɪ̯
аутотрофы,ɐʊtɐtrof
аутофилия,ɐʊtəfʲɪlʲiɪ̯ə
аутоцитолиз,ˌaʊtət͡sɨtolʲɪs
аутоцитолизин,ˌaʊtət͡sɨtəlʲɪzʲin
аутоэкология,ˌaʊtəɛkɐɫoɡʲɪɪ̯ə
аутоэпиляция,ˌaʊtəɛpʲɪlʲat͡sɨɪ̯ə
аутоэротизм,ɐʊtəɛrɐtʲizm
аутоэротический,ˌaʊtəɛrɐtʲit͡ɕɪskʲɪɪ̯
аутрайт,aʊtrəɪ̯t
аутригер,ɐʊtrʲiɡʲɪr
аутсайдер,ɐʊt͡ssaɪ̯dɛr
аутсайдерский,ɐʊt͡ssaɪ̯dɛrskʲɪɪ̯
аутсорсинг,ɐʊt͡ssorsʲɪnk
аутфилд,aʊtfʲɪɫt
аутэкология,ɐʊtɛkɐɫoɡʲɪɪ̯ə
афазия,ɐfazʲɪɪ̯ə
афакия,ɐfakʲɪɪ̯ə
афалина,ɐfɐlʲinə
афанасьевец,ɐfɐnasʲɪ̯ɪvʲɪt͡s
афанасьевский,ɐfɐnasʲɪ̯ɪfskʲɪɪ̯
афатик,ɐfatʲɪk
афатический,ɐfɐtʲit͡ɕɪskʲɪɪ̯
афган,ɐvɡan
афганец,ɐvɡanʲɪt͡s
афгани,ɐvɡɐnʲi
афганка,ɐvɡankə
афгано-пакистанский,ɐvˌɡanə pəkʲɪstanskʲɪɪ̯
афганский,ɐvɡanskʲɪɪ̯
афганско-российский,ɐvˌɡanskə rɐsʲiɪ̯skʲɪɪ̯
афганско-советский,ɐvˌɡanskə sɐvʲet͡skʲɪɪ̯
афганцы,ɐvɡanʲɪt͡s
афелий,ɐfʲelʲɪɪ̯
афелинус,ɐfʲɪlʲinʊs
афера,ɐfʲerə
аферист,ɐfʲɪrʲist
аферистка,ɐfʲɪrʲistkə
афинский,ɐfʲinskʲɪɪ̯
афиняне,ɐfʲinʲɪnʲɪn
афинянин,ɐfʲinʲɪnʲɪn
афинянка,ɐfʲinʲɪnkə
афициды,ɐfʲɪt͡sɨt
афиша,ɐfʲiʂə
афиширование,ɐfʲɪʂɨrəvənʲɪɪ̯ə
афишированный,ɐfʲɪʂɨrəvənːɨɪ̯
афишировать,ɐfʲɪʂɨrəvətʲ
афишироваться,ɐfʲɪʂɨrəvət͡sə
афишка,ɐfʲiʂkə
афишный,ɐfʲiʂnɨɪ̯
афлатоксин,ɐfɫətɐksʲin
афонец,ɐfonʲɪt͡s
афонический,ɐfɐnʲit͡ɕɪskʲɪɪ̯
афонский,ɐfonskʲɪɪ̯
афонцы,ɐfonʲɪt͡s
афоризм,ɐfɐrʲizm
афористика,ɐfɐrʲisʲtʲɪkə
